,contractSymbol,strike,lastPrice,openInterest,StockPrice,premiumPrice,strike_diff
0,GME230217C00003000,3.0,19.38,0.0,19.8700008392334,97.53396669080209,-84.9018627413619
1,GME230217C00006250,6.25,11.25,0.0,19.8700008392334,56.61801471989286,-68.5455473778373
2,GME230217C00007500,7.5,11.85,0.0,19.8700008392334,59.63764217162048,-62.25465685340477
3,GME230217C00008750,8.75,19.0,0.0,19.8700008392334,95.6215359713746,-55.96376632897222
4,GME230217C00010000,10.0,11.21,37.0,19.8700008392334,56.41670622311102,-49.67287580453968
5,GME230217C00011250,11.25,8.1,0.0,19.8700008392334,40.76497059832286,-43.381985280107145
6,GME230217C00012500,12.5,8.7,4.0,19.8700008392334,43.78459805005047,-37.091094755674604
7,GME230217C00013500,13.5,6.25,1.0,19.8700008392334,31.454452622162698,-32.058382336128574
8,GME230217C00013750,13.75,5.42,27.0,19.8700008392334,27.277301313939496,-30.800204231242063
9,GME230217C00015000,15.0,4.6,49.0,19.8700008392334,23.150477129911746,-24.50931370680952
10,GME230217C00015500,15.5,4.25,1.0,19.8700008392334,21.389027783070635,-21.992957497036507
11,GME230217C00016000,16.0,3.28,64.0,19.8700008392334,16.507296736110984,-19.476601287263488
12,GME230217C00016250,16.25,3.0,79.0,19.8700008392334,15.098137258638095,-18.218423182376984
13,GME230217C00016500,16.5,3.27,83.0,19.8700008392334,16.45696961191552,-16.960245077490473
14,GME230217C00017000,17.0,2.24,65.0,19.8700008392334,11.273275819783112,-14.443888867717458
15,GME230217C00017500,17.5,2.32,1327.0,19.8700008392334,11.675892813346794,-11.927532657944443
16,GME230217C00018000,18.0,1.82,282.0,19.8700008392334,9.159536603573779,-9.411176448171426
17,GME230217C00018500,18.5,0.97,218.0,19.8700008392334,4.881731046959651,-6.8948202383984105
18,GME230217C00018750,18.75,1.24,627.0,19.8700008392334,6.240563400237079,-5.636642133511903
19,GME230217C00019000,19.0,1.05,1816.0,19.8700008392334,5.284348040523334,-4.378464028625395
20,GME230217C00019500,19.5,0.68,2320.0,19.8700008392334,3.4222444452913017,-1.862107818852379
21,GME230217C00020000,20.0,0.44,5993.0,19.8700008392334,2.214393464600254,0.6542483909206369
22,GME230217C00020500,20.5,0.29,2444.0,19.8700008392334,1.4594866016683492,3.170604600693653
23,GME230217C00021000,21.0,0.18,3713.0,19.8700008392334,0.9058882355182858,5.686960810466669
24,GME230217C00021250,21.25,0.16,1205.0,19.8700008392334,0.805233987127365,6.945138915353177
25,GME230217C00021500,21.5,0.11,2407.0,19.8700008392334,0.5535983661500635,8.203317020239686
26,GME230217C00022000,22.0,0.08,4125.0,19.8700008392334,0.4026169935636825,10.7196732300127
27,GME230217C00022500,22.5,0.07,6704.0,19.8700008392334,0.35228986936822226,13.236029439785716
28,GME230217C00023000,23.0,0.06,4273.0,19.8700008392334,0.3019627451727619,15.75238564955873
29,GME230217C00023500,23.5,0.06,1867.0,19.8700008392334,0.3019627451727619,18.26874185933175
30,GME230217C00023750,23.75,0.05,2101.0,19.8700008392334,0.25163562097730163,19.526919964218255
31,GME230217C00024000,24.0,0.05,1982.0,19.8700008392334,0.25163562097730163,20.785098069104766
32,GME230217C00024500,24.5,0.04,1197.0,19.8700008392334,0.20130849678184126,23.30145427887778
33,GME230217C00025000,25.0,0.04,14555.0,19.8700008392334,0.20130849678184126,25.817810488650792
